NAME,COSMIC,TISSUE,TISSUE_SUB_TYPE
SW962,909758,urogenital_system,urogenital_system_other
SW982,909759,soft_tissue,soft_tissue_other
Saos-2,909707,bone,osteosarcoma
SiHa,930297,urogenital_system,cervix
T-24,724812,urogenital_system,Bladder
T47D,905945,breast,breast
T84,909761,digestive_system,large_intestine
T98G,687586,nervous_system,glioma
TALL-1,909762,blood,lymphoblastic_T_cell_leukaemia
TC-YIK,946357,urogenital_system,cervix
TCCSUP,687459,urogenital_system,Bladder
TE-1,753621,aero_digestive_tract,oesophagus
TE-10,753622,aero_digestive_tract,oesophagus
TE-11,946354,aero_digestive_tract,oesophagus
TE-12,946356,aero_digestive_tract,oesophagus
TE-15,753614,aero_digestive_tract,oesophagus
TE-441-T,924248,soft_tissue,rhabdomyosarcoma
TE-5,735784,aero_digestive_tract,oesophagus
TE-6,946355,aero_digestive_tract,oesophagus
TE-8,753623,aero_digestive_tract,oesophagus
TE-9,946353,aero_digestive_tract,oesophagus
TGBC11TKB,909770,digestive_system,stomach
TGBC1TKB,909769,digestive_system,biliary_tract
TGBC24TKB,910695,digestive_system,biliary_tract
TGW,910780,nervous_system,neuroblastoma
THP-1,909771,blood,acute_myeloid_leukaemia
TI-73,910696,bone,osteosarcoma
TK10,905980,kidney,kidney
TT,930299,thyroid,thyroid
TUR,909773,blood,B_cell_lymphoma
TYK-nu,909774,urogenital_system,ovary
U-118-MG,687588,nervous_system,glioma
U-2-OS,909776,bone,osteosarcoma
U-266,753615,blood,Myeloma
U-698-M,909777,blood,B_cell_leukemia
U-87-MG,687590,nervous_system,glioma
U031,905981,kidney,kidney
U251,905983,nervous_system,glioma
UACC-257,905977,skin,melanoma
UACC-62,905976,skin,melanoma
UACC-812,910910,breast,breast
UACC-893,909778,breast,breast
UM-UC-3,724838,urogenital_system,Bladder
UMC-11,909779,lung,lung_NSCLC_carcinoid
VA-ES-BJ,688121,soft_tissue,soft_tissue_other
VM-CUB-1,909780,urogenital_system,Bladder
VMRC-RCZ,909781,kidney,kidney
WM-115,909784,skin,melanoma
WSU-NHL,909785,blood,lymphoid_neoplasm_other
YAPC,909904,pancreas,pancreas
YH-13,909905,nervous_system,glioma
YKG-1,687592,nervous_system,glioma
YT,946358,blood,lymphoid_neoplasm_other
ZR-75-30,909907,breast,breast
no-10,908452,nervous_system,glioma
no-11,908450,nervous_system,glioma
